All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,GPIO30,,GPIO30,CANA_RX,,SPIB_SIMO,GPIO30,OUTPUTXBAR7,EQEP1_STROBE,,GPIO30,FSIRXA_CLK,,EPWM1_A,GPIO30,,HIC_D8,
2,GPIO31,,GPIO31,CANA_TX,,SPIB_SOMI,GPIO31,OUTPUTXBAR8,EQEP1_INDEX,,GPIO31,FSIRXA_D1,,EPWM1_B,GPIO31,,HIC_D10,
3,GPIO29,,GPIO29,SCIA_TX,,EPWM7_B,GPIO29,OUTPUTXBAR6,EQEP1_B,,GPIO29,EQEP2_INDEX,LINA_RX,SPIB_STE,GPIO29,ERRORSTS,I2CB_SCL,HIC_NCS
4,GPIO28,,GPIO28,SCIA_RX,,EPWM7_A,GPIO28,OUTPUTXBAR5,EQEP1_A,,GPIO28,EQEP2_STROBE,LINA_TX,SPIB_CLK,GPIO28,ERRORSTS,I2CB_SDA,HIC_NOE
5,XRSn,XRSn
6,GPIO46,,GPIO46,,,LINA_TX,GPIO46,,,FSITXA_D1,GPIO46,,,,GPIO46,,,HIC_NWE
7,VDDIO,VDDIO
8,VDD,VDD
9,VSS,VSS
10,A6,,AIO228,,,,AIO228,,,,AIO228,,,,AIO228,,,HIC_A0
11,C6,,AIO226,,,,AIO226,,,,AIO226,,,,AIO226,,,HIC_A1
12,A3/C5/VDAC,,AIO242,,,,AIO242,,,,AIO242,,,,AIO242,,,HIC_A2
13,A2/C9,,AIO224,,,,AIO224,,,,AIO224,,,,AIO224,,,HIC_A3
14,A15/C7,,AIO233,,,,AIO233,,,,AIO233,,,,AIO233,,,HIC_A4
15,A14/C4,,AIO239,,,,AIO239,,,,AIO239,,,,AIO239,,,HIC_A5
16,A11/C0,,AIO237,,,,AIO237,,,,AIO237,,,,AIO237,,,HIC_A6
17,A5/C2,,AIO244,,,,AIO244,,,,AIO244,,,,AIO244,,,HIC_A7
18,A1,,AIO232,,,,AIO232,,,,AIO232,,,,AIO232,,,HIC_BASESEL0
19,A0/C15,,AIO231,,,,AIO231,,,,AIO231,,,,AIO231,,,HIC_BASESEL1
20,VREFHI,VREFHI
21,VREFLO,VREFLO
22,A12/C1,,AIO238,,,,AIO238,,,,AIO238,,,,AIO238,,,HIC_NCS
23,A7/C3,,AIO245,,,,AIO245,,,,AIO245,,,,AIO245,,,HIC_NOE
24,A8/C11,,AIO241,,,,AIO241,,,,AIO241,,,,AIO241,,,HIC_NBE1
25,VSSA,VSSA
26,VDDA,VDDA
27,A4/C14,,AIO225,,,,AIO225,,,,AIO225,,,,AIO225,,,HIC_NWE
28,A9/C8,,AIO227,,,,AIO227,,,,AIO227,,,,AIO227,,,HIC_NBE0
29,A10/C10,,AIO230,,,,AIO230,,,,AIO230,,,,AIO230,,,HIC_BASESEL2
30,VSS,VSS
31,VDD,VDD
32,VDDIO,VDDIO
33,FLT2,FLT2
34,FLT1,FLT1
35,GPIO13,,GPIO13,EPWM7_B,,,GPIO13,EQEP1_INDEX,,PMBUSA_ALERT,GPIO13,FSIRXA_CLK,LINB_RX,SPIA_SOMI,GPIO13,CANA_TX,HIC_D11,HIC_D5
36,GPIO12,,GPIO12,EPWM7_A,,,GPIO12,EQEP1_STROBE,,PMBUSA_CTL,GPIO12,FSIRXA_D0,LINB_TX,SPIA_CLK,GPIO12,CANA_RX,HIC_D13,HIC_INT
37,GPIO11,,GPIO11,EPWM6_B,,OUTPUTXBAR7,GPIO11,EQEP1_B,,SPIA_STE,GPIO11,FSIRXA_D1,LINB_RX,EQEP2_A,GPIO11,SPIA_SIMO,HIC_D6,HIC_NBE0
38,GPIO33,,GPIO33,I2CA_SCL,,SPIB_STE,GPIO33,OUTPUTXBAR4,LINA_RX,,GPIO33,FSIRXA_CLK,CANA_RX,EQEP2_B,GPIO33,ADCSOCAO,,HIC_D0
39,GPIO16,,GPIO16,SPIA_SIMO,,OUTPUTXBAR7,GPIO16,EPWM5_A,SCIA_TX,,GPIO16,EQEP1_STROBE,PMBUSA_SCL,XCLKOUT,GPIO16,EQEP2_B,SPIB_SOMI,HIC_D1
40,GPIO17,,GPIO17,SPIA_SOMI,,OUTPUTXBAR8,GPIO17,EPWM5_B,SCIA_RX,,GPIO17,EQEP1_INDEX,PMBUSA_SDA,CANA_TX,GPIO17,,,HIC_D2
41,GPIO24,,GPIO24,OUTPUTXBAR1,EQEP2_A,,GPIO24,,SPIB_SIMO,,GPIO24,LINB_TX,PMBUSA_SCL,SCIA_TX,GPIO24,ERRORSTS,,HIC_D3
42,GPIO25,,GPIO25,OUTPUTXBAR2,EQEP2_B,,GPIO25,EQEP1_A,SPIB_SOMI,,GPIO25,FSITXA_D1,PMBUSA_SDA,SCIA_RX,GPIO25,,HIC_BASESEL0,
43,GPIO26,,GPIO26,OUTPUTXBAR3,EQEP2_INDEX,,GPIO26,OUTPUTXBAR3,SPIB_CLK,,GPIO26,FSITXA_D0,PMBUSA_CTL,I2CA_SDA,GPIO26,,HIC_D0,HIC_A1
44,GPIO27,,GPIO27,OUTPUTXBAR4,EQEP2_STROBE,,GPIO27,OUTPUTXBAR4,SPIB_STE,,GPIO27,FSITXA_CLK,PMBUSA_ALERT,I2CA_SCL,GPIO27,,HIC_D1,HIC_A4
45,TCK,TCK
46,GPIO37/TDO,,GPIO37,OUTPUTXBAR2,,I2CA_SCL,GPIO37,SCIA_TX,CANA_TX,LINA_TX,GPIO37,EQEP1_B,PMBUSA_ALERT,,GPIO37,,HIC_NRDY,TDO
47,TMS,TMS
48,GPIO35/TDI,,GPIO35,SCIA_RX,,I2CA_SDA,GPIO35,CANA_RX,PMBUSA_SCL,LINA_RX,GPIO35,EQEP1_A,PMBUSA_CTL,,GPIO35,,HIC_NWE,TDI
49,GPIO32,,GPIO32,I2CA_SDA,,SPIB_CLK,GPIO32,,LINA_TX,,GPIO32,FSIRXA_D0,CANA_TX,,GPIO32,ADCSOCBO,,HIC_INT
50,GPIO18_X2,,GPIO18,SPIA_CLK,,CANA_RX,GPIO18,EPWM6_A,I2CA_SCL,,GPIO18,EQEP2_A,PMBUSA_CTL,XCLKOUT,GPIO18,LINB_TX,,HIC_INT
51,GPIO19_X1,,GPIO19,SPIA_STE,,CANA_TX,GPIO19,EPWM6_B,I2CA_SDA,,GPIO19,EQEP2_B,PMBUSA_ALERT,CLB_OUTPUTXBAR1,GPIO19,LINB_RX,,HIC_NBE0
52,VDDIO,VDDIO
53,VDD,VDD
54,GPIO43,,GPIO43,,,OUTPUTXBAR6,GPIO43,PMBUSA_ALERT,I2CA_SCL,,GPIO43,,EQEP1_INDEX,CLB_OUTPUTXBAR4,GPIO43,,HIC_D3,HIC_A7
55,VREGENZ/ VSS,VREGENZ/ VSS
56,GPIO39,,GPIO39,,,,GPIO39,,,FSIRXA_CLK,GPIO39,EQEP2_INDEX,,CLB_OUTPUTXBAR2,GPIO39,SYNCOUT,EQEP1_INDEX,HIC_D7
57,GPIO42,,GPIO42,,LINA_RX,OUTPUTXBAR5,GPIO42,PMBUSA_CTL,I2CA_SDA,,GPIO42,,EQEP1_STROBE,CLB_OUTPUTXBAR3,GPIO42,,HIC_D2,HIC_A6
58,GPIO8,,GPIO8,EPWM5_A,,ADCSOCAO,GPIO8,EQEP1_STROBE,SCIA_TX,SPIA_SIMO,GPIO8,I2CA_SCL,FSITXA_D1,CLB_OUTPUTXBAR5,GPIO8,HIC_A0,,HIC_D8
59,GPIO4,,GPIO4,EPWM3_A,,,GPIO4,OUTPUTXBAR3,CANA_TX,SPIB_CLK,GPIO4,EQEP2_STROBE,FSIRXA_CLK,CLB_OUTPUTXBAR6,GPIO4,HIC_BASESEL2,,HIC_NWE
60,GPIO3,EPWM2_B,GPIO3,EPWM2_B,OUTPUTXBAR2,,GPIO3,OUTPUTXBAR2,PMBUSA_SCL,SPIA_CLK,GPIO3,SCIA_RX,FSIRXA_D0,I2CB_SCL,GPIO3,HIC_NOE,CANA_RX,HIC_D4
61,GPIO2,EPWM2_A,GPIO2,EPWM2_A,EMU1,,GPIO2,OUTPUTXBAR1,PMBUSA_SDA,SPIA_SIMO,GPIO2,SCIA_TX,FSIRXA_D1,I2CB_SDA,GPIO2,HIC_A1,CANA_TX,HIC_D9
62,GPIO1,EPWM1_B,GPIO1,EPWM1_B,EMU0,,GPIO1,,I2CA_SCL,SPIA_SOMI,GPIO1,,,CLB_OUTPUTXBAR7,GPIO1,HIC_A2,,HIC_D10
63,GPIO0,EPWM1_A,GPIO0,EPWM1_A,,,GPIO0,,I2CA_SDA,SPIA_STE,GPIO0,FSIRXA_CLK,,CLB_OUTPUTXBAR8,GPIO0,,,HIC_BASESEL1
64,GPIO40,,GPIO40,SPIB_SIMO,,EMU0,GPIO40,EPWM2_B,PMBUSA_SDA,FSIRXA_D0,GPIO40,,EQEP1_A,LINB_TX,GPIO40,,HIC_NBE1,HIC_D5
65,GPIO23,,GPIO23,EQEP1_INDEX,,,GPIO23,,SPIB_STE,,GPIO23,LINA_RX,,LINB_RX,GPIO23,HIC_A3,EPWM4_B,HIC_D11
66,GPIO41,,GPIO41,,,EMU1,GPIO41,EPWM2_A,PMBUSA_SCL,FSIRXA_D1,GPIO41,,EQEP1_B,LINB_RX,GPIO41,HIC_A4,SPIB_SOMI,HIC_D12
67,GPIO22,,GPIO22,EQEP1_STROBE,,,GPIO22,,SPIB_CLK,,GPIO22,LINA_TX,CLB_OUTPUTXBAR1,LINB_TX,GPIO22,HIC_A5,EPWM4_A,HIC_D13
68,GPIO7,,GPIO7,EPWM4_B,,OUTPUTXBAR5,GPIO7,EQEP1_B,,SPIB_SIMO,GPIO7,FSITXA_CLK,CLB_OUTPUTXBAR2,,GPIO7,HIC_A6,,HIC_D14
69,GPIO44,,GPIO44,,,OUTPUTXBAR7,GPIO44,EQEP1_A,,FSITXA_CLK,GPIO44,,CLB_OUTPUTXBAR3,,GPIO44,HIC_D7,,HIC_D5
70,VSS,VSS
71,VDD,VDD
72,VDDIO,VDDIO
73,GPIO45,,GPIO45,,,OUTPUTXBAR8,GPIO45,,,FSITXA_D0,GPIO45,,CLB_OUTPUTXBAR4,,GPIO45,,,HIC_D6
74,GPIO5,GPIO5,GPIO5,EPWM3_B,,OUTPUTXBAR3,GPIO5,,CANA_RX,SPIA_STE,GPIO5,FSITXA_D1,CLB_OUTPUTXBAR5,,GPIO5,HIC_A7,HIC_D4,HIC_D15
75,GPIO9,,GPIO9,EPWM5_B,,OUTPUTXBAR6,GPIO9,EQEP1_INDEX,SCIA_RX,SPIA_CLK,GPIO9,,FSITXA_D0,LINB_RX,GPIO9,HIC_BASESEL0,I2CB_SCL,HIC_NRDY
76,GPIO10,,GPIO10,EPWM6_A,,ADCSOCBO,GPIO10,EQEP1_A,,SPIA_SOMI,GPIO10,I2CA_SDA,FSITXA_CLK,LINB_TX,GPIO10,HIC_NWE,,
77,GPIO34,,GPIO34,OUTPUTXBAR1,,,GPIO34,,PMBUSA_SDA,,GPIO34,,,,GPIO34,HIC_NBE1,I2CB_SDA,HIC_D9
78,GPIO15,,GPIO15,,,,GPIO15,I2CB_SCL,OUTPUTXBAR4,PMBUSA_SCL,GPIO15,SPIB_STE,EQEP2_B,LINB_RX,GPIO15,EPWM3_B,CLB_OUTPUTXBAR6,HIC_D12
79,GPIO14,,GPIO14,,,,GPIO14,I2CB_SDA,OUTPUTXBAR3,PMBUSA_SDA,GPIO14,SPIB_CLK,EQEP2_A,LINB_TX,GPIO14,EPWM3_A,CLB_OUTPUTXBAR7,HIC_D15
80,GPIO6,,GPIO6,EPWM4_A,OUTPUTXBAR4,SYNCOUT,GPIO6,EQEP1_A,,SPIB_SOMI,GPIO6,FSITXA_D0,,FSITXA_D1,GPIO6,HIC_NBE1,CLB_OUTPUTXBAR8,HIC_D14

